poem_id,poet,poem_title,collection_title,collection_pub_year,collection_pub_year_uncertain,collection_pub_year_note,source_file,tei_id,total_verse_lines,stanza_pattern,lines_used_for_metrics,model,mean_token_surprisal,mean_token_entropy,s2,n_tokens_used,compute_error
1,"Haller, Albrecht von",Ueber eine Hochzeit,Versuch Schweizerischer Gedichte,1732.0,False,"Bern, 1732",Gedichte.phz6.0.xml,tg14.phz7.0,60,10,12,dbmdz/german-gpt2,7.2379,6.502,0.7359,121,
2,"Haller, Albrecht von","Zueignungs-Schrift an den Hochwohlgebornen gnädigen Herrn, Herrn Isaac Steiger, des Standes Bern Schultheißen",Versuch Schweizerischer Gedichte,1732.0,False,"Bern, 1732",Gedichte.phz6.0.xml,tg22.pj19.0,32,4,12,dbmdz/german-gpt2,7.3753,6.6972,0.6781,114,
3,"Haller, Albrecht von",Ueber eben Dieselbe,Versuch Schweizerischer Gedichte,1732.0,False,"Bern, 1732",Gedichte.phz6.0.xml,tg27.pj0r.0,80,8,12,dbmdz/german-gpt2,6.4684,6.4916,-0.0232,113,
4,"Haller, Albrecht von","An Se. Excellenz Herrn Gerlach Adolf v. Münchhausen, Sr. Königl. Majestät von Groß-Britannien und Churfürstl. Durchl. zu Braunschweig-Lüneburg hochbetrauten geheimden Rath, Groß-Vogt zu Celle und königl. hohen Repräsentanten. Bei der Einweihung der Georg-Augustus-Universität, unter fremden Namen",Versuch Schweizerischer Gedichte,1732.0,False,"Bern, 1732",Gedichte.phz6.0.xml,tg29.pj1d.0,88,10/7/4/12/8/25/6/8/8,12,dbmdz/german-gpt2,6.9842,6.2413,0.7429,112,
5,"Haller, Albrecht von",Der Fuchs und die Trauben. Bei Gelegenheit einer Rede des nachwärtigen Herrn Professor in Franeker D.J. Jakob Ritters,Versuch Schweizerischer Gedichte,1732.0,False,"Bern, 1732",Gedichte.phz6.0.xml,tg33.phzd.0,12,10/2,12,dbmdz/german-gpt2,6.2501,5.7582,0.4919,157,
6,"Haller, Albrecht von","Der beste König
                                       
                                       
                                       1",Versuch Schweizerischer Gedichte,1732.0,False,"Bern, 1732",Gedichte.phz6.0.xml,tg34.phww.0,6,6,6,dbmdz/german-gpt2,6.609,6.3172,0.2918,80,
7,"Haller, Albrecht von",Der Fuchs und die andern Thiere,Versuch Schweizerischer Gedichte,1732.0,False,"Bern, 1732",Gedichte.phz6.0.xml,tg35.pj0p.0,10,10,10,dbmdz/german-gpt2,7.3049,6.9002,0.4046,129,
8,"Haller, Albrecht von",Ueberschriften,Versuch Schweizerischer Gedichte,1732.0,False,"Bern, 1732",Gedichte.phz6.0.xml,tg40.phxp.0,4,4,4,dbmdz/german-gpt2,7.4536,6.4877,0.9659,52,
9,"Haller, Albrecht von",2. [Auf diesem Blatt steht Claproths Bild geweihet],Versuch Schweizerischer Gedichte,1732.0,False,"Bern, 1732",Gedichte.phz6.0.xml,tg41.pj0x.0,4,4,4,dbmdz/german-gpt2,6.8322,6.024,0.8083,45,
10,"Haller, Albrecht von","3. [Auf selbst erwählter Bahn sucht, kundig seiner Schuld]",Versuch Schweizerischer Gedichte,1732.0,False,"Bern, 1732",Gedichte.phz6.0.xml,tg42.phxj.0,6,6,6,dbmdz/german-gpt2,6.6791,6.491,0.1881,80,
11,"Haller, Albrecht von","4. [Der Ruhm, der Weise krönt, der um die Helden strahlt]",Versuch Schweizerischer Gedichte,1732.0,False,"Bern, 1732",Gedichte.phz6.0.xml,tg43.phx7.0,8,8,8,dbmdz/german-gpt2,7.2707,6.7533,0.5173,105,
12,"Haller, Albrecht von","5. [Horch! die Trompete schallt, ihr Klang dringt durch das Grab]",Versuch Schweizerischer Gedichte,1732.0,False,"Bern, 1732",Gedichte.phz6.0.xml,tg44.phwb.0,4,4,4,dbmdz/german-gpt2,6.5214,6.28,0.2414,55,
13,"Haller, Albrecht von","6. [Steh still, Helvetier, hier liegt das kühne Heer]",Versuch Schweizerischer Gedichte,1732.0,False,"Bern, 1732",Gedichte.phz6.0.xml,tg45.phzr.0,6,6,6,dbmdz/german-gpt2,7.3586,6.6048,0.7538,78,
14,"Haller, Albrecht von",7. [Wo Russlands breites Reich sich mit der Erde schließet],Versuch Schweizerischer Gedichte,1732.0,False,"Bern, 1732",Gedichte.phz6.0.xml,tg46.pj1g.0,8,8,8,dbmdz/german-gpt2,7.5247,6.7744,0.7503,86,
15,"Haller, Albrecht von",Ueber den Tod der Frau Trillerin,Versuch Schweizerischer Gedichte,1732.0,False,"Bern, 1732",Gedichte.phz6.0.xml,tg48.pj1q.0,12,12,12,dbmdz/german-gpt2,6.8605,6.4327,0.4278,99,
16,"Haller, Albrecht von","Beim Tode der Wohlgebornen Frauen Johanna Maria Ayrerin, geborner Dornfeldin",Versuch Schweizerischer Gedichte,1732.0,False,"Bern, 1732",Gedichte.phz6.0.xml,tg49.phzk.0,14,14,12,dbmdz/german-gpt2,7.0064,6.8358,0.1707,160,
17,"Haller, Albrecht von","geborner Teichmeierin, im Namen seiner Gemahlin",Versuch Schweizerischer Gedichte,1732.0,False,"Bern, 1732",Gedichte.phz6.0.xml,tg50.phwk.0,34,34,12,dbmdz/german-gpt2,6.4092,6.4082,0.0009,156,
18,"Brockes, Barthold Heinrich",Großer Graf!,Irdisches Vergnügen in Gott,1721.0,False,"Hamburg, 1721–1748 (9 vols)",Gedichte.ks55.0.xml,tg5.krxm.0,6,6,6,dbmdz/german-gpt2,7.4425,6.8176,0.6249,88,
19,"Brockes, Barthold Heinrich",Lieblichkeiten des Frühlings,Irdisches Vergnügen in Gott,1721.0,False,"Hamburg, 1721–1748 (9 vols)",Gedichte.ks55.0.xml,tg9.ks2r.0,44,44,12,dbmdz/german-gpt2,6.7509,6.6045,0.1464,151,
20,"Brockes, Barthold Heinrich","Die Nachtigall, und derselben Wett-Streit gegen einander",Irdisches Vergnügen in Gott,1721.0,False,"Hamburg, 1721–1748 (9 vols)",Gedichte.ks55.0.xml,tg12.ks5z.0,68,28/6/7/22/5,12,dbmdz/german-gpt2,6.9126,6.6458,0.2668,163,
21,"Brockes, Barthold Heinrich",Das unverhoffte Grün,Irdisches Vergnügen in Gott,1721.0,False,"Hamburg, 1721–1748 (9 vols)",Gedichte.ks55.0.xml,tg14.ks3w.0,73,41/24/4/4,12,dbmdz/german-gpt2,7.2101,6.9864,0.2238,147,
22,"Brockes, Barthold Heinrich",Die Käiser-Krone,Irdisches Vergnügen in Gott,1721.0,False,"Hamburg, 1721–1748 (9 vols)",Gedichte.ks55.0.xml,tg15.krwk.0,26,6/9/5/6,12,dbmdz/german-gpt2,7.5419,6.6022,0.9396,115,
