poem_id,poet,movement,collection,poem_title,pub_place,pub_date,pub_year,comp_date_from,comp_date_to,comp_year,n_lines,n_stanzas,n_words,mean_surprisal,mean_entropy,s2_mean,uid_sigma,tension,peak_pos,ac1,ttr,person,has_addressee,emotional_valence,emotional_intensity,dominant_theme,imagery_density,tone,temporal_frame,setting,closure,text,george_normalized_text
Albrech_von_Haller_0001,Albrech von Haller,Aufklärung,Versuch Schweizerischer Gedichte,Ueber eine Hochzeit,Frauenfeld,1882,1882.0,1731,1731,1731.0,60,6,336,11.9022,7.0606,4.8417,7.2357,-1.3348,0.4821,0.1073,0.7679,,True,6.0,4.0,love,3.0,dramatic,mixed,abstract,5.0,"Entweicht! ihr unberufnen Dichter,
Singt auf den Bänken Bauren vor!
Ist vor euch Lärmer dann kein Richter?
Sorgt niemand für ein kennend Ohr?
Die Gasse schnarrt von feilen Leiern,
Ganz Teutschland quillt mit nüchtren Schreiern,
Auch Frösche sind nicht so gemein.
Ihr Unterkäufler falscher Ehre,
Eh ich mich von euch rühmen höre,
Eh wollt ich noch gescholten sein!

Zwar Dichter sind sonst nicht zu höhnen,
Die Reime leiden auch Verstand,
Sie dienen Tugenden zu krönen,
Kein Witz ist besser angewandt:
Doch wann, noch matt vom Bücher-Schranke,
Nur ein erhascheter Gedanke
Durch die geflickten Reime hinkt,
Da wird sich billig jeder schämen,
Ein unächt Rauchwerk anzunehmen,
Wovon der beste Name stinkt.

Wie glücklich waren jene Zeiten,
Da Ruhm und Tugend stund im Bund!
Die Helden wurden groß im streiten,
Noch größer in der Dichter Mund.
Auf starker Geister Adler-Schwingen
Hub sich der Ruhm, den Thaten bringen,
Nach der verdienten Ewigkeit:
Viel fester als auf Marmor-Säulen
Trotzt, auf Homers geweihten Zeilen,
Achilles der Vergessenheit.

Vertrautes Paar! dem heut zur Liebe
Des Hymens holde Fackel brennt,
O daß für euch ein Dichter bliebe
Von jenen, die Apollo kennt!
Wär Thebens Sänger noch auf Erde,
Der oft den Ruhm geschwinder Pferde
Mit schlechtem Recht verewigt hat;
Die letzte Nachwelt würde lesen,
Daß ihr der euren Zier gewesen
Und die Verwundrung eurer Stadt.

Zwar sind die Dichter euch missgönnet,
So ists der wahre Nachruhm nicht:
Die Ehrfurcht jedes, der euch kennet,
Ist doch das beste Lob-Gedicht.
Ein armer Dichter zahlt mit Ruhme,
Der Tugend Sold und Eigenthume,
Den Zins von eignen Schulden ab.
Das Lob, das feile Lieder geben,
Hat niemals ein beredend Leben,
Wie das, das euer Volk euch gab.

Doch meine Freundschaft wird zur Plage,
Genuß und Wonne sind euch nah,
Lebt lang und wohl, der Himmel sage
Zu meinem Wunsch sein würkend Ja!
Ihr aber eilt, vertraute beide,
Zu der entzückten Art der Freude,
Die nur vergnügte Liebe giebt.
In eures Stammes edlen Gaben
Wird einst die Welt ein Abbild haben
Von dem, was wir in euch geliebt!",
Albrech_von_Haller_0002,Albrech von Haller,Aufklärung,Versuch Schweizerischer Gedichte,"Zueignungs-Schrift an den Hochwohlgebornen gnädigen Herrn, Herrn Isaac Steiger, des Standes Bern Schultheißen",Frauenfeld,1882,1882.0,1734,1734,1734.0,32,8,183,12.2404,7.2162,5.0242,7.1999,0.3383,0.3934,-0.0541,0.8579,,True,6.0,2.0,other,2.0,meditative,present,abstract,4.0,"Der alten Schweizer tapfre Hand
Hat noch ein rauher Muth geführet,
Ihr Sinn war stark und ungezieret,
Und all ihr Witz war nur Verstand.

Nicht, daß man uns verachten soll:
Der Freiheit Sitz und Reich auf Erden
Kann nicht an Geist unfruchtbar werden;
Wer frei darf denken, denket wohl!

Nein, ihr im Stahl erzogner Sinn
Fand keinen Reiz an mindrer Ehre;
Vom Anblick ihrer furchtbarn Heere
Floh Scherz und Muse schüchtern hin.

Itzt, daß der Sieg uns Friede giebt,
Ist auch der Zierat rühmlich worden;
Man pries sonst bloß ein sieghaft morden,
Itzt wird ein reiner Lob geliebt.

Du, dessen Scharfsicht nichts umschränkt,
Vor dem nichts würdigs liegt verborgen,
Hast oftmals, satt von höhern Sorgen,
Auch Dichtern einen Blick geschenkt.

Das alte Vorrecht unsrer Kunst
Ist ja der Beifall großer Männer,
Je größrer Fürst, je größrer Kenner,
Das zeigt Augusts und Ammons Gunst.

Warum zeugt nicht dein glücklich Land
Wie große Häupter große Sänger?
Warum bleibt wahres Lob nicht länger,
Als was die Schmeichelei erfand?

Doch Männern deiner Trefflichkeit
Versagt der Himmel keine Kronen;
Er lohnt Mäcenen mit Maronen
Und Tugend mit Unsterblichkeit!",
Albrech_von_Haller_0003,Albrech von Haller,Aufklärung,Versuch Schweizerischer Gedichte,Ueber eben Dieselbe,Frauenfeld,1882,1882.0,1737,1737,1737.0,80,10,496,11.2229,6.6284,4.5945,6.8156,0.9119,0.9113,0.1534,0.6673,,,3.0,5.0,death,4.0,elegiac,past,mixed,4.0,"Geliebte! wann itzt solch ein Name
Nicht zu vermessen ist von mir,
Ich weiß, daß nichts von Leid und Grame
Mehr Wege finden kann zu dir;
Doch, wann vom Licht der wahren Sonne
Noch Strahlen fallen niederwärts,
So wirf auch du, vom Sitz der Wonne,
Ein Aug auf deines Hallers Herz.

Dich heißet mich die Welt vergessen!
Dich tadelt man in meiner Brust!
Mein Herz, ein Herz, das dich besessen,
Soll offen sein für andre Lust!
Ja, dich und mich schmäht der zusammen,
Der mein Betrübniß unterbricht;
O kennt er selber reine Flammen,
Er schölte meine Thränen nicht!

Doch wenig kennen wahre Liebe,
Die Anmuth zeugt und Tugend weiht;
Sie ist kein Freibrief wilder Triebe,
Nicht eine Magd der Ueppigkeit.
Dein lieben war mein Leid ergötzen
Mit heimlich sorgender Geduld;
Mein lieben war mich selig schätzen,
Belohnung suchen deiner Huld.

Ihr holden Jahre, die wir beide
Einander, ach! so kurz gemacht,
O hätt ich nur, was wir im Leide
Bei manchem Sturme hingebracht!
Wir suchten Ruh in zärterm scherzen,
Wie Tauben, die ein Wetter fliehn,
Und fanden Lust, selbst in den Schmerzen,
Weil unsre Treu nie heller schien.

O Bern! o Vaterland! o Worte
Voll reger Wehmuth, banger Lust!
O zärtlich Bild geliebter Orte,
Voll wunder Spuren in der Brust!
O bleibt bei mir, erneut die Stunden,
Da sie die Hand mir zitternd gab!
Wo seid ihr? ach, ihr seid verschwunden!
Ich bin allein, sie deckt ein Grab.

Ein Grab? in deinen schönen Tagen?
Du Rose, frisch vom reinsten Blut?
Ach ja! dort ward sie hingetragen,
Hier ist der Tempel, wo sie ruht,
Der Stein, den ich beschrieben habe –
O wie ists hier so öd und still!
O hier ists, wo in ihrem Grabe,
Ich meine Schmerzen enden will.

Ja, fern von allen, die uns lieben,
Die Blut und Freundschaft uns verband,
Hier, wo mir nichts als du geblieben,
Hier ist mein letztes Vaterland!
Hier, wo kein Freund wird um mich weinen,
Wo nichts ist mein, als deine Gruft,
Hier steht mein Grabmal bei dem deinen,
Wohin mich mein Verhängniß ruft.

O daß ich doch dich lieben musste!
Wie glücklich warst du ohne mich!
Dein Muth, der nichts von Sorgen wusste,
Sah nichts als Lust und Scherz um dich!
Du warst vergnügt, gesucht bei allen,
Mit Tugend, Zierd und Gut geschmückt!
O hätt ich niemals dir gefallen!
Wär ich nur arm und du beglückt!

Doch nein! ich kann mein Glück nicht hassen,
Und deine Huld verdient nicht Reu;
Gott hat dich mir aus Wahl gelassen;
Er liebet uns mit weiser Treu;
Gott ists, der dich der Welt genommen,
Der mich vielleicht dir schaden sah;
Der mich den gleichen Weg heißt kommen;
O sei er rauh, ist er nur nah!

O Wonne! flammendes Entzücken!
O Freude, die die Zunge bindt!
O Thränen nur, dich auszudrücken,
Gefühl, das keine Worte findt!
O dort ist sie, im selgen Heere!
Beim Stuhl des Lamms, am Lebens-Fluß!
Ach! daß mein Leib verwesen wäre,
Der mich von ihr noch trennen muß!",
Albrech_von_Haller_0004,Albrech von Haller,Aufklärung,Versuch Schweizerischer Gedichte,"An Se. Excellenz Herrn Gerlach Adolf v. Münchhausen, Sr. Königl. Majestät von Groß-Britannien und Churfürstl. Durchl. zu Braunschweig-Lüneburg hochbetrauten geheimden Rath, Groß-Vogt zu Celle und königl. hohen Repräsentanten. Bei der Einweihung der Georg-Augustus-Universität, unter fremden Namen",Frauenfeld,1882,1882.0,1737,1737,1737.0,88,9,548,12.1198,6.8596,5.2602,7.5783,2.4759,0.8084,0.0883,0.6734,,,6.0,3.0,other,3.0,lyric,present,abstract,4.0,"Nimm, Herr! mit der gewohnten Huld
Dieß Opfer deiner Söhne!
Die Treu, die uns beseelt, begehrt von dir Geduld
Und deckt die Fehler unsrer Töne.
Es ist ein Lied, durch keinen Witz geschwächt,
Und ohne Sorge schlecht.
O sieh in uns gerührter Herzen Regung,
Die, überschwemmt mit wallender Bewegung,
In ungesuchte Worte bricht;
Das wagt kein Schmeichler nicht.

Wahrheit hat ein redend Leben,
Dessen Kraft kein Witz ersann;
Was das Herz hat eingegeben,
Hat kein Heuchler nachgethan;
Künstler lernen schmeichelnd malen,
Doch die Schönheit selbst hat Strahlen,
Die die Kunst nicht schaffen kann.

O daß du niemals angehört,
Was Freunde, die sich nichts verhehlen,
Wo niemand ihre Freiheit stört,
Von dir mit wahrem Ruhm erzählen!

Er hats vollbracht, sie steht, Georg Auguste,
Und, was dem Neid unmöglich heißen musste,
Sie blüht und ist schon groß.
Ein einsam Volk, in öder Ruh erzogen,
Wird itzt der Reinlichkeit, ja selbst der Zier gewogen
Und öffnet fremdem Witz die ungewohnte Schooß.
Die Handlung streut, aus arbeitsamen Händen,
Bequemlichkeit und Reichthum aus;
Die Ordnung zieht die Stadt aus ihrem Graus,
Und selbst des Eckels Klagen enden;
Der Lehrstuhl ist besetzt, und eine muntre Jugend
Lernt mit der Weisheit auch die Tugend.

Wunder von bemühter Güte!
Muster von der Tugend Kraft!
Da ein einziges Gemüthe
Ganzer Länder Wohlstand schafft;
Was wir an Augusten loben,
Alles ist dein Eigenthum;
Aus dem Staub durch dich erhoben
Wächst sie und mit ihr dein Ruhm!

Ja, deiner Klugheit muß sich endlich alles fügen,
Was das Verhängniß dir zur Prüfung vorgelegt;
Und deiner Tugend gönnt der Himmel das Vergnügen,
Daß, was du pflanztest, itzt schon frühe Früchte trägt.
Die wohlgewogne Wahl der Lehrer aller Orden,
Erkiest aus manchem Volk, aus jeder Wissenschaft,
Und denen bloß durch deiner Güte Kraft
Ein unberühmtes Land zum Vaterland geworden;
Die selbst dem Haß zu starke Huld;
Die Großmuth ungehoffter Gaben,
Die auch die Bitte nicht gekostet haben;
Dein unermüdlich Aug, an tausend Orten wach,
Für nichts zu stolz, für nichts zu schwach,
Sind es, die durch ein Meer von Hinderungen
Georg Augustens Glück errungen.
Das Elend weicht getrost von deinem Angesichte;
Du bist gerecht, doch gnädig selbst der Schuld;
Du bist gelehrt und gütig minderm Lichte;
Bemüht und voll von freudiger Geduld;
Und Tugenden, die sonst sich hassen,
Beredt die Frömmigkeit, in dir sich zu umfassen.
Bescheidenster, du hörest uns nicht gern
Und wehrest deinem Ruhm, sich dir zu zeigen;
Doch Werke reden, wann wir schweigen;
Wir sagten mehrers, wärst du fern!

Eitle Ruhmsucht mag sich schämen,
Unverdientes Lob zu nehmen,
Das den innern Unwerth schilt;
Tugend darf ihr Lob wohl hören,
Will die Demuth gleich es stören,
Ist es doch ihr wahres Bild.

O sieh ein unerkäuflich Lob,
Der Helden höchsten Preis, die wahrer Werth erhob!
Von den gedrungnen Schaaren,
Die um dein Antlitz heut so emsig waren,
Ist nicht ein Herz, das nicht dir gleiche Namen giebt,
Ist niemand, der dich nicht sich selbst zu Liebe liebt.
Kein Mensch, dem nicht dein Ruhm so werth als seiner ist,
Nicht einer, der dich nicht so groß wünscht, als du bist.

Herr! so viele tausend Seelen
Haben einen Wunsch für dich,
Unsre treue Sorgen zählen
Jeden Tag, der dir entwich;
O mach einst das Glück der Kinder,
Die dich heut noch angelacht!
Und ihr Zeiten, eilt gelinder,
Die er einzig gülden macht!",
Albrech_von_Haller_0005,Albrech von Haller,Aufklärung,Versuch Schweizerischer Gedichte,Der Fuchs und die Trauben. Bei Gelegenheit einer Rede des nachwärtigen Herrn Professor in Franeker D.J. Jakob Ritters,Frauenfeld,1882,1882.0,1708,1777,1742.5,12,2,95,10.523,6.2085,4.3144,7.6753,-1.6812,0.3895,0.1451,0.8737,,,4.0,2.0,self,4.0,ironic,timeless,rural,5.0,"Ein Fuchs, der auf die Beute gieng,
Traf einen Weinstock an, der, voll von falben Trauben,
Um einen hohen Ulmbaum hieng;
Sie schienen gut genug; die Kunst war, abzuklauben.
Er schlich sich hin und her, den Zugang auszuspähn;
Umsonst, es war zu hoch, kein Sprung war abzusehn.
Der Schalk dacht in sich selbst: ich muß mich nicht beschämen;
Er sprach und macht dabei ein hämisches Gesicht:
»Was soll ich mir viel Mühe nehmen,
Sie sind ja saur und taugen nicht!«

So gehts der Wissenschaft. Verachtung geht für Müh.
Wer sie nicht hat, der tadelt sie.",
Albrech_von_Haller_0006,Albrech von Haller,Aufklärung,Versuch Schweizerischer Gedichte,Der beste König 1,Frauenfeld,1882,1882.0,1708,1777,1742.5,6,1,52,10.1677,7.1739,2.9938,5.6166,-1.2256,0.2115,-0.0522,0.8846,,,6.0,2.0,other,2.0,meditative,timeless,abstract,5.0,"Ein Fürst ist allzu schwach, der nicht zu zürnen weiß,
Sein unbeschütztes Volk steht fremder Herrschsucht preis;
Ein Landbezwinger ist ein allgemeiner Würger,
Der Nachbarn Straf und Furcht, doch weit mehr seiner Bürger.
Der ist vollkommen groß, der, recht an Gottes Statt,
Zum Frieden Huld und Recht und Muth zum siegen hat.",
Albrech_von_Haller_0007,Albrech von Haller,Aufklärung,Versuch Schweizerischer Gedichte,Der Fuchs und die andern Thiere,Frauenfeld,1882,1882.0,1708,1777,1742.5,10,1,77,12.238,7.5966,4.6415,7.8769,-0.3495,0.5584,0.0076,0.8571,,,3.0,3.0,self,4.0,meditative,timeless,abstract,4.0,"Die sichre Kühnheit höhnt abwesende Gefahr,
Scherzt, wo sie fürchten soll, vertrotzt die theure Stunde,
Da Rettung möglich war;
Und wann der reife Sturm ihr überm Haupt nun schwebt
Und die empörte See die starken Wellen hebt,
So geht ihr blinder Stolz auch unbedaurt zu Grunde.
Die Klugheit sieht den Sturm in fernen Wolken drohen,
Flieht sichern Häfen zu, enteilet dem Orcan
Und sieht denn auch getrost, wie dort der Ocean
Unwiderstehbar tobt, wovon sie früh entflohen.",
Albrech_von_Haller_0008,Albrech von Haller,Aufklärung,Versuch Schweizerischer Gedichte,Ueberschriften,Frauenfeld,1882,1882.0,1748,1748,1748.0,4,1,35,11.074,7.1707,3.9033,5.7181,1.4224,0.0857,0.008,1.0,,True,5.0,3.0,other,3.0,elegiac,timeless,abstract,4.0,"Als unbesiegt an Muth der letzte Römer starb,
War Rom von Ruhm noch stolz, den ihm sein Blut erwarb;
O seliger als Rom, du freies Albion!
Wie damals Cato sprach, so denkt itzt Cäsars Sohn.",
Albrech_von_Haller_0009,Albrech von Haller,Aufklärung,Versuch Schweizerischer Gedichte,Ueber den Tod der Frau Trillerin,Frauenfeld,1882,1882.0,1752,1752,1752.0,12,1,62,10.9546,6.9095,4.0451,6.0045,-0.6655,0.0484,0.1277,0.9032,,True,3.0,4.0,death,3.0,elegiac,timeless,abstract,4.0,"Der Schmerz, o Triller! ist der gröste,
Der treue Herzen trennt;
Erwarte nicht, daß der dich tröste,
Der diese Wunden kennt!
Der Tugend wohlverdiente Liebe
Weint billig um ihr Grab;
Die Thränen folgen aus dem Triebe,
Den Gott auch Weisen gab.
Doch Christen kann nichts völlig scheiden,
Kein Grab deckt Geister zu.
Die Zeit verträgt kein ewigs leiden,
Die Ewigkeit nur Ruh.",
Albrech_von_Haller_0010,Albrech von Haller,Aufklärung,Versuch Schweizerischer Gedichte,"Beim Tode der Wohlgebornen Frauen Johanna Maria Ayrerin, geborner Dornfeldin",Frauenfeld,1882,1882.0,1754,1754,1754.0,14,1,114,11.1951,7.3084,3.8867,8.2622,-2.4704,0.1053,0.0835,0.8246,,,4.0,4.0,death,4.0,elegiac,timeless,abstract,4.0,"Wann der geprüfte Geist, durch manches Leid gepresst,
Den Schmerzens-müden Leib ietzt Hoffnungs-voll verlässt,
Entladen, schwingt er nun das schimmernde Gefieder
Zum Vaterland des Lichts und senkt in Gott sich wieder
In Ketten von Demant liegt, bittrer als der Tod,
Die Sünde unter ihm und die besiegte Noth.
Ihn überstrahlt der Glanz der unerschaffnen Sonne
Mit wechselfreier Lust und schattenloser Wonne.
Entzückt, wirft er noch einst den neuverklärten Blick
Erbarmend auf die Welt und seinen Freund zurüc
Und schilt die Thränen nicht; sie sind der Zoll des Lebens
Für die Verstorbnen nur und nicht für uns vergebens.
Uns drückt des Leibes Joch, uns quält die Sündlichkeit,
Undankbar hassen wir den Tod, der uns befreit.",
